id,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,scheduled_service,iata_code,local_code
27044,medium_airport,Albury Airport,-36.067798614502,146.957992553711,539,AU,Albury,yes,ABX,
27045,medium_airport,Mareeba Airport,-17.0692005157471,145.419006347656,1560,AU,,no,MRG,
27048,medium_airport,Mudgee Airport,-32.5625,149.610992432,1545,AU,Mudgee,no,DGE,
27050,medium_airport,Meekatharra Airport,-26.6117000579834,118.547996520996,1713,AU,,yes,MKR,
27051,medium_airport,Melbourne Essendon Airport,-37.7281,144.901993,282,AU,Melbourne,yes,MEB,
27052,medium_airport,Merimbula Airport,-36.9085998535,149.901000977,7,AU,Merimbula,yes,MIM,
27055,medium_airport,Maningrida Airport,-12.0560998917,134.23399353,123,AU,Maningrida,yes,MNG,
27058,medium_airport,Hobart International Airport,-42.836101532,147.509994507,13,AU,Hobart,yes,HBA,
27060,medium_airport,Mildura Airport,-34.2291984558,142.085998535,167,AU,Mildura,yes,MQL,
27063,medium_airport,Launceston Airport,-41.54529953,147.214004517,562,AU,Launceston,yes,LST,
27064,medium_airport,Melbourne Moorabbin Airport,-37.9757995605469,145.102005004883,50,AU,Melbourne,yes,MBW,
27066,large_airport,Melbourne International Airport,-37.673302,144.843002,434,AU,Melbourne,yes,MEL,
27069,medium_airport,Mount Keith Airport,-27.2863998413086,120.555000305176,1792,AU,,no,WME,
27071,medium_airport,Mount Magnet Airport,-28.1161003112793,117.842002868652,1354,AU,,yes,MMG,
27072,medium_airport,Moree Airport,-29.4988994598,149.845001221,701,AU,Moree,yes,MRZ,
27074,medium_airport,Moranbah Airport,-22.057800293,148.07699585,770,AU,Moranbah,yes,MOV,
27075,medium_airport,Moruya Airport,-35.8978004456,150.143997192,14,AU,Moruya,yes,MYA,
27076,medium_airport,Mount Gambier Airport,-37.7456016540527,140.785003662109,212,AU,,yes,MGB,
27081,medium_airport,Narrandera Airport,-34.7022018433,146.511993408,474,AU,Narrandera,yes,NRA,
27082,medium_airport,Narrabri Airport,-30.3192005157,149.82699585,788,AU,Narrabri,yes,NAA,
